Gene ID	brain	liver	testis
ENSMUSG00000004591	0.402898901	1.042940546	1.071330647
ENSMUSG00000004610	203.634165	1034.836638	74.40491638
ENSMUSG00000004626	0.049933642	0.293205875	9.33309808
ENSMUSG00000004637	0.183981133	0	0.608071585
ENSMUSG00000004642	0	0	1.258634366
ENSMUSG00000004655	0.11764569	66.28996757	0
ENSMUSG00000004665	0.167382003	1.999201692	1.949587523
ENSMUSG00000004667	0	1.412284258	1.7251166
ENSMUSG00000004707	0	0	0
ENSMUSG00000004730	0	0.304512448	0.091476218
ENSMUSG00000004748	7.508839521	6.555089116	0.868069349
ENSMUSG00000004771	1.48353846	2.001859774	0.686334236
ENSMUSG00000004788	2.511293838	6.75476941	14.58485433
ENSMUSG00000004789	70.78004466	37.20795911	89.25021454
ENSMUSG00000004815	2.779191491	0	0.05836244
ENSMUSG00000004837	0	0	0
ENSMUSG00000004843	4.259112253	0.25118225	6.097982849
ENSMUSG00000004846	0.14214268	0.67541211	6.948238415
ENSMUSG00000004849	20.37610194	14.4625584	24.14069663
ENSMUSG00000004865	0.1406956	0.232724789	10.80151203
ENSMUSG00000004880	0	0.661019569	8.277365284
ENSMUSG00000004885	0.858240342	35.55670681	0
ENSMUSG00000004892	40.3392224	0.151776472	0.021901743
ENSMUSG00000004897	49.00807473	39.92503739	150.5969667
ENSMUSG00000004902	6.172640071	0	2.195066622
ENSMUSG00000004934	0	0.719951188	1.043070334
ENSMUSG00000004936	124.7448368	15.60747853	17.03964532
ENSMUSG00000004945	0	0.498831196	0.312618928
ENSMUSG00000004951	5.053502558	1.034836638	31.98998435
ENSMUSG00000004961	0.141795005	0	0
ENSMUSG00000004980	28.73439596	55.15779121	147.8774151
ENSMUSG00000004996	1.365939753	7.784938197	8.220384204
ENSMUSG00000005045	1.167248211	0	0.007123355
ENSMUSG00000005054	37.50614129	33.24482393	71.92134707
ENSMUSG00000005089	309.7455031	0.168392725	0.217391455
ENSMUSG00000005102	0.12576437	0.002741909	0.228658169
ENSMUSG00000005103	203.5073106	12.18762934	46.89715591
ENSMUSG00000005125	42.52158753	7.846527897	7.895620824
ENSMUSG00000005142	0.119045786	2.110192816	1.831596396
ENSMUSG00000005161	958.2673687	412.793625	377.8018303
ENSMUSG00000005198	0.386872965	0.033427648	2.088730717
ENSMUSG00000005204	0.188045171	0	0.885998244
ENSMUSG00000005237	0.017981843	0.000776354	0.364894752
ENSMUSG00000005262	20.13742777	6.859796057	82.56069325
ENSMUSG00000005299	63.31442959	24.0478608	46.79067611
ENSMUSG00000005312	41.52695524	8.394352079	50.60812072
ENSMUSG00000005338	123.9320291	0	0
ENSMUSG00000005354	13.97559382	62.42018942	7.43617489
ENSMUSG00000005357	16.91626623	0.087988992	1.344480104
ENSMUSG00000005360	757.696502	0.252109337	0.13739635
ENSMUSG00000005370	0.203277093	0.07089947	2.466877887
ENSMUSG00000005374	1.442522211	3.588280807	67.89669853
ENSMUSG00000005378	0.359857681	0.543396207	0.265566369
ENSMUSG00000005397	0.098838354	0.058313129	1.159262815
ENSMUSG00000005413	0	11.10883711	2.20024672
ENSMUSG00000005442	0.150101617	0.005198754	0.024271638
ENSMUSG00000005447	43.37104204	2.132689265	54.68025348
ENSMUSG00000005470	0	0	12.53742051
ENSMUSG00000005481	0	0.885465405	79.6914944
ENSMUSG00000005483	6.87456763	0.374945133	37.39311458
ENSMUSG00000005501	0	0.003242082	0.641569554
ENSMUSG00000005510	43.77039841	96.15124783	24.34070598
ENSMUSG00000005514	26.94058109	88.53357429	68.18016502
ENSMUSG00000005534	0.297623863	1.257661693	0.00795807
ENSMUSG00000005566	31.87615606	21.72884649	488.2962033
ENSMUSG00000005575	94.11655192	11.00899696	202.0957765
ENSMUSG00000005580	1.924709797	0	0.089099128
ENSMUSG00000005609	0.142236646	0.03488311	0.408896809
ENSMUSG00000005615	1.92203176	4.140124527	23.21115678
ENSMUSG00000005625	3.346418494	1.191274478	30.05320319
ENSMUSG00000005656	9.46568576	1.502075559	19.82394811
ENSMUSG00000005667	0	0	11.96804138
ENSMUSG00000005674	0.181129259	0	0.258889798
ENSMUSG00000005681	1.394223581	83.17202875	9.487062111
ENSMUSG00000005683	698.6857246	70.74387542	581.7106412
ENSMUSG00000005686	3.113006438	0.150829936	1.273930044
ENSMUSG00000005687	2.300151773	0.938238054	3.678157521
ENSMUSG00000005698	0	0	0.223535627
ENSMUSG00000005716	96.42812058	0.862450307	0.080623912
ENSMUSG00000005732	152.5212472	78.41989709	207.4053772
ENSMUSG00000005763	0	0	0
ENSMUSG00000005779	163.660941	208.4649298	155.34539
ENSMUSG00000005803	1.953416473	78.2254033	6.806505172
ENSMUSG00000005804	0.814217175	2.665926412	1.8710227
ENSMUSG00000005813	1.222265424	2.777501018	8.962001599
ENSMUSG00000005846	0	0.186344502	0.833233188
