Gene ID	brain	liver	testis
ENSMUSG00000012483	11	9	6
ENSMUSG00000012535	8	5	5
ENSMUSG00000013033	27	0	3
ENSMUSG00000013091	0	0	104
ENSMUSG00000013160	154	41	21
ENSMUSG00000013495	3	0.9	8
ENSMUSG00000013523	132	0	3
ENSMUSG00000013584	5	0	47
ENSMUSG00000013593	97	85	46
ENSMUSG00000013629	2	2	2
ENSMUSG00000013646	5	1	1
ENSMUSG00000013662	44	27	55
ENSMUSG00000013663	15	16	11
ENSMUSG00000013698	135	6	4
ENSMUSG00000013707	1	0.8	0
ENSMUSG00000013736	27	14	38
ENSMUSG00000013846	4	19	0.7
ENSMUSG00000013858	11	7	13
ENSMUSG00000013921	76	0	1
ENSMUSG00000013936	0	0	1
ENSMUSG00000014075	4	0	42
ENSMUSG00000014077	60	106	11
ENSMUSG00000014158	2	0	0
ENSMUSG00000014177	13	10	10
ENSMUSG00000014195	57	18	68
ENSMUSG00000014226	141	81	91
ENSMUSG00000014232	28	4	66
ENSMUSG00000014294	364	331	399
ENSMUSG00000014301	44	21	114
ENSMUSG00000014313	96	64	39
ENSMUSG00000014329	0.9	0	1
ENSMUSG00000014349	19	10	8
ENSMUSG00000014355	4	2	3
ENSMUSG00000014361	9	5	1
ENSMUSG00000014402	30	16	17
ENSMUSG00000014418	3	3	5
ENSMUSG00000014453	0	0	0
ENSMUSG00000014496	7	5	10
ENSMUSG00000014550	10	3	3
ENSMUSG00000014551	7	3	3
ENSMUSG00000014601	11	2	3
ENSMUSG00000014606	39	19	6
ENSMUSG00000014633	7	6	12
ENSMUSG00000014767	2	0.7	9
ENSMUSG00000014769	164	141	75
ENSMUSG00000014776	6	0	0
ENSMUSG00000014778	1	1	6
ENSMUSG00000014791	1	6	4
ENSMUSG00000014846	28	0	6
ENSMUSG00000014859	14	8	18
ENSMUSG00000014867	11	41	28
ENSMUSG00000014873	13	5	5
ENSMUSG00000014905	47	68	110
ENSMUSG00000014932	3	8	4
ENSMUSG00000014956	108	51	22
ENSMUSG00000015002	11	4	9
ENSMUSG00000015013	41	9	40
ENSMUSG00000015016	3	5	4
ENSMUSG00000015023	7	8	2
ENSMUSG00000015027	2	3	2
ENSMUSG00000015083	0.9	187	14
ENSMUSG00000015085	2	0	0.6
ENSMUSG00000015087	24	4	10
ENSMUSG00000015092	41	45	52
ENSMUSG00000015093	0.7	0.7	0
ENSMUSG00000015095	17	6	72
ENSMUSG00000015112	1	53	1
ENSMUSG00000015120	16	12	43
ENSMUSG00000015133	0	0.8	0
ENSMUSG00000015134	0	0	0.7
ENSMUSG00000015143	20	7	3
ENSMUSG00000015149	30	8	22
ENSMUSG00000015165	35	15	29
ENSMUSG00000015214	6	4	2
ENSMUSG00000015217	11	4	11
ENSMUSG00000015222	53	0	6
ENSMUSG00000015243	2	14	2
ENSMUSG00000015247	5	32	3
ENSMUSG00000015289	3	3	0
ENSMUSG00000015290	14	6	3
ENSMUSG00000015291	111	12	2
ENSMUSG00000015337	2	4	0
ENSMUSG00000015340	0	2	0
ENSMUSG00000015341	42	24	20
ENSMUSG00000015355	0.6	2	1
ENSMUSG00000015357	24	127	127
ENSMUSG00000015363	3	14	4
ENSMUSG00000015401	0	0	0
ENSMUSG00000015405	0.8	0	0
ENSMUSG00000015474	4	3	2
ENSMUSG00000015476	33	0	0
ENSMUSG00000015478	10	10	5
ENSMUSG00000015488	8	5	2
ENSMUSG00000015533	0	0	2
ENSMUSG00000015542	14	15	41
ENSMUSG00000015568	5	15	6
ENSMUSG00000015599	5	0	12
ENSMUSG00000015647	0.5	0	0
ENSMUSG00000015656	478	403	39
ENSMUSG00000015668	15	7	3
ENSMUSG00000015671	170	135	67
ENSMUSG00000015672	46	49	56
ENSMUSG00000015711	10	4	8
ENSMUSG00000015714	26	87	7
ENSMUSG00000015733	69	25	11
ENSMUSG00000015747	13	3	4
ENSMUSG00000015748	6	2	6
ENSMUSG00000015755	21	26	8
ENSMUSG00000015757	9	4	7
ENSMUSG00000015759	95	80	13
ENSMUSG00000015766	6	0	2
ENSMUSG00000015776	6	5	5
ENSMUSG00000015790	40	22	7
ENSMUSG00000015804	14	5	36
ENSMUSG00000015806	70	130	5
ENSMUSG00000015829	9	0	0
ENSMUSG00000015837	113	97	16
ENSMUSG00000015889	22	18	11
ENSMUSG00000015890	0	105	0
ENSMUSG00000015932	160	152	36
ENSMUSG00000015943	7	6	18
ENSMUSG00000015944	16	0	0.7
ENSMUSG00000015950	2	1	0
ENSMUSG00000015961	25	18	36
